Date,Day,Special day,Content Type,Bucket,Status,Topic / Hook,Reference,Concept / Objectives,CTA,Platform
2026-04-07,Monday,,carousel,Case Study,Planned,How we took Proofit from scattered to systemised content,,Concept: Show the before vs after. Prove we build systems.,DM us to build your content system,"Instagram, LinkedIn"
2026-04-08,Tuesday,,reel,BTS,Planned,What goes into one carousel for Notch India,,Concept: BTS showing process from reference to final output. Prove execution depth.,Let us handle your content,"Instagram, X"
2026-04-09,Wednesday,,post,Education,Planned,3 tools we use to create high-end visuals (gatekept),,Concept: Share tools but gatekeep enough. Build trust while creating dependency.,We use these so you dont have to,"Instagram, LinkedIn, X"
2026-04-10,Thursday,,carousel,Case Study,Planned,The difference between good and great content - Notch India example,,Concept: Side-by-side basic vs styled shot. Show creative direction capability.,Your brand deserves better content,"Instagram, LinkedIn"
2026-04-11,Friday,,reel,BTS,Planned,A day in the life of a creative director at Orange Matrix,,Concept: Real work footage. Humanise the agency.,Work with us,"Instagram, YouTube Shorts"
2026-04-12,Saturday,,post,Proof,Planned,This month we shipped 39 posts across 2 clients,,Concept: Simple stats graphic. Prove output capacity.,We ship. You grow.,"Instagram, LinkedIn, X"
2026-04-13,Sunday,,carousel,Education,Planned,Why most brand content fails (and how we fix it),,Concept: 5 common mistakes and solutions. Position as the fix.,Stop wasting content budget,"Instagram, LinkedIn"
2026-04-14,Monday,,reel,Case Study,Planned,From brief to delivered: a Notch India reel breakdown,,Concept: Journey from brief to final. Prove end-to-end ownership.,We do the work you approve,"Instagram, X, YouTube Shorts"
2026-04-15,Tuesday,,post,BTS,Planned,What creative direction actually means at Orange Matrix,,Concept: Explain full scope beyond making things look good. Elevate value.,We direct. We produce. We manage.,"Instagram, LinkedIn"
2026-04-16,Wednesday,,carousel,Case Study,Planned,Proofit content plan: why each post exists,,Concept: Explain strategic reasons behind posts. Show intentional content.,Your content should have reasons,"Instagram, LinkedIn"
2026-04-17,Thursday,,reel,Education,Planned,The one thing that fixes 80% of brand content problems,,Concept: Consistency + strategy. Strong hook drive DMs.,DM us if youre tired of random posting,"Instagram, X, YouTube Shorts"
2026-04-18,Friday,,post,Proof,Planned,We manage platforms so you dont have to,,Concept: List platforms managed. Clarify the offer.,You focus on business. We focus on brand.,"Instagram, LinkedIn, X"
2026-04-19,Saturday,,carousel,BTS,Planned,How we plan a month of content for a client,,Concept: Step-by-step process. Prove we have a system.,Let us build your content system,"Instagram, LinkedIn"
2026-04-20,Sunday,,reel,Case Study,Planned,Notch India soft launch: how we built hype,,Concept: Show how visuals built anticipation. Show launch capability.,Launching a brand? Lets talk.,"Instagram, YouTube Shorts"
2026-04-21,Monday,,post,Education,Planned,The difference between content and content strategy,,Concept: Content is what you post. Strategy is why. Elevate conversation.,Strategy first. Content second.,"Instagram, LinkedIn, X"
2026-04-22,Tuesday,,carousel,Proof,Planned,Whats in an Orange Matrix content plan,,Concept: Show structure and columns. Prove professionalism.,We dont do random content.,"Instagram, LinkedIn"
2026-04-23,Wednesday,,reel,BTS,Planned,How we edit a reel from start to finish,,Concept: Speed-run editing process. Execution proof.,We create. We edit. We ship.,"Instagram, X, YouTube Shorts"
2026-04-24,Thursday,,post,Case Study,Planned,How we helped a brand clarify positioning in 1 session,,Concept: Real anonymised story. Show strategic capability.,Book a strategy session,"Instagram, LinkedIn, X"
2026-04-25,Friday,,carousel,Education,Planned,5 signs your brand needs a content partner (not just a designer),,Concept: Signs and solution framing. Lead generation.,Check these signs? Lets talk.,"Instagram, LinkedIn"
2026-04-26,Saturday,,reel,Proof,Planned,This is what 1 month of Orange Matrix looks like,,Concept: Montage of output. Prove capacity.,Ready to grow?,"Instagram, YouTube Shorts"
2026-04-27,Sunday,,post,BTS,Planned,Why we keep client knowledge files,,Concept: Every client has stored positioning and tone. Build trust.,We study before we create.,"Instagram, LinkedIn, X"
2026-04-28,Monday,,carousel,Case Study,Planned,What changed when we took over Notch Indias content,,Concept: Before vs after visually. Real case study.,Your brand can look this intentional,"Instagram, LinkedIn"
2026-04-29,Tuesday,,reel,Education,Planned,The one mistake founders make with brand content,,Concept: Content as afterthought mistake. Position as solution.,Fix your content system,"Instagram, X, YouTube Shorts"
2026-04-30,Wednesday,,post,Proof,Planned,We dont just plan. We produce. We manage.,,Concept: Reinforce full-service position. Clear positioning.,One partner. Full creative direction.,"Instagram, LinkedIn, X"
